Costitems,CostType,hours,customer,estimator,status,projectName,dateUpdated,dateCreated,projectNumber,Quantity,cost,sales
Precision Non-Shrink Grout 50lb,Part,0,Warfel Construction,Steffy Rick,Bid Submitted,Arconic B&G,1/16/2026,12/19/2025,2511 - ABG,10,$219.50 ,$291.94 
Travel Labor,Labor,6,Warfel Construction,Stoltzfus Jr Isaac,In Progress,Tel Hai Health Center,1/16/2026,9/17/2025,2506 - TH,6,$228.00 ,$291.84 
Telehandler 8000 lb (In-House),Equipment,0,"B.R. Kreider & Son, Inc.",Steffy Rick,Lost,Hershey Park Artist Compound,1/16/2026,10/9/2025,2510 - HPAC,5,$260.45 ,$291.70 
Telehandler 8000 lb (In-House),Equipment,0,"Benchmark Construction Co., Inc.",Stoltzfus Jr Isaac,In Progress,UGI Middletown Warehouse,1/16/2026,4/8/2025,MW-25-001,5,$260.45 ,$291.70 
Telehandler 8000 lb (In-House),Equipment,0,Funk Construction,Steffy Rick,Bid Submitted,Caring Cupboard,1/16/2026,7/29/2025,2507 - CC,5,$260.45 ,$291.70 
TK-Floor Hardner and Densifier ,Part,0,"Hoover Building Specialists, Inc.",Steffy Rick,Bid Submitted,Stevens Feed Mill Schoeneck,1/16/2026,10/20/2025,2509 - SFMS,0.24,$219.14 ,$291.46 
#8 Rebar - 20' Pc,Part,0,Paul Risk Construction,Steffy Rick,Bid Submitted,Piazza Porsche,1/16/2026,8/4/2025,2508-PP,8.1,$217.49 ,$291.43 
Site Concrete Wood Forms ,Part,0,"Caldwell, Heckles and Egan, Inc.",Stoltzfus Jr Isaac,Lost,Railroad Museum of PA,1/16/2026,3/18/2025,RM-25-001,153,$217.26 ,$291.13 
Site Concrete Wood Forms ,Part,0,eciConstruction,Stoltzfus Jr Isaac,Lost,Railroad Museum of PA,1/16/2026,3/19/2025,RM-25-001,153,$217.26 ,$291.13 
4000 Psi Concrete,Part,0,"Callas Contractors, Inc.",Stoltzfus Jr Isaac,Lost,Cumberland Township Municipal Building,1/16/2026,1/27/2025,CM-25-001,1.5,$218.81 ,$291.01 
4000 Psi Concrete,Part,0,Keystruct Construction LLC,Stoltzfus Jr Isaac,Lost,Cumberland Township Municipal Building,1/16/2026,2/3/2025,CM-25-001,1.5,$218.81 ,$291.01 
"Expansion Rigid Foam 4""x10'",Part,0,Double H Construction LLC,Steffy Rick,Bid Submitted,Hearthside Building,1/16/2026,12/20/2024,HB - 24 - 001,53,$207.76 ,$290.86 
"Expansion Noma-Flex 6""x10'",Part,0,Brecknock Builders LLC,Steffy Rick,Lost,Valley View Doors,1/16/2026,11/12/2025,2511 - VVD,37,$218.67 ,$290.83 
#4 Rebar - 20' Pc,Part,0,"A & E Construction, Inc.",Stoltzfus Jr Isaac,Lost,Giant Food Store #6582,1/16/2026,10/30/2025,2508 - GI,30,$215.40 ,$290.79 
#4 Rebar - 20' Pc,Part,0,"Ames Construction, Inc.",Stoltzfus Jr Isaac,Accepted,Giant #6582,1/16/2026,12/3/2025,2508 - GI,30,$215.40 ,$290.79 
#4 Rebar - 20' Pc,Part,0,Lynmar Builders,Stoltzfus Jr Isaac,Lost,Giant Food Store,1/16/2026,10/30/2025,2508 - GI,30,$215.40 ,$290.79 
#4 Rebar - 20' Pc,Part,0,Speedwell Construction Inc.,Stoltzfus Jr Isaac,Lost,Giant Food Store,1/16/2026,10/27/2025,2508 - GI,30,$215.40 ,$290.79 
Site Concrete  ,Part,0,"Hoover Building Specialists, Inc.",Steffy Rick,Bid Submitted,Stevens Feed Mill Schoeneck,1/16/2026,10/20/2025,2509 - SFMS,1.5,$218.63 ,$290.77 
Vapor Barrier 6 mil 20'x100',Part,0,"Hoover Building Specialists, Inc.",Swinehart Shelly,Accepted,Mine Road Church,1/16/2026,11/14/2025,2511-MRC,2.5,$218.60 ,$290.74 
Vapor Barrier 10 mil 20'x100',Part,0,Brecknock Builders LLC,Steffy Rick,Bid Submitted,Smucker Energy,1/16/2026,6/16/2025,2506 - SE,1.52,$218.53 ,$290.65 
Fiber Non Taxable ,Part,0,"Hoover Building Specialists, Inc.",Steffy Rick,Bid Submitted,Stevens Feed Mill Schoeneck,1/16/2026,10/20/2025,2509 - SFMS,23,$218.50 ,$290.61 
Management,Labor,2.87,Berg Construction,Steffy Rick,Bid Submitted,SECCRA,1/16/2026,7/22/2025,2507 - SECCRA,2.87,$215.25 ,$290.59 
"Expansion Rigid Foam 6""x10'",Part,0,"Hoover Building Specialists, Inc.",Steffy Rick,Bid Submitted,Superior Truss Lumber Storage Addition,1/16/2026,7/10/2025,2507 - STLSA,36.96,$218.43 ,$290.52 
Travel Labor,Labor,5.5,Heck Construction,Steffy Rick,Bid Submitted,Lebanon Steel Works,1/16/2026,10/30/2025,2510 - LSW,5.5,$209.00 ,$290.51 
7. Management Labor ,Labor,4,"Benchmark Construction Co., Inc.",Stoltzfus Jr Isaac,In Progress,UGI Middletown Warehouse,1/16/2026,4/8/2025,MW-25-001,4,$220.00 ,$290.40 
Management,Labor,4,DML Poured Walls,Stoltzfus Jr Isaac,Bid Submitted,Complete Recycling Group ,1/16/2026,12/24/2025,2512 - CR,4,$220.00 ,$290.40 
Management,Labor,4,Heck Construction,Steffy Rick,Lost,Morgan Truck Body,1/16/2026,3/27/2025,MTB - 25 - 001,4,$220.00 ,$290.40 
7. Management Labor ,Labor,4,Speedwell Construction Inc.,Stoltzfus Jr Isaac,Lost,Townplace Suites - Lebanon,1/16/2026,2/6/2025,TS-25-001,4,$220.00 ,$290.40 
Management,Labor,2,Heck Construction,Steffy Rick,Lost,Morgan Truck Body,1/16/2026,3/27/2025,MTB - 25 - 001,2,$220.00 ,$290.40 
7. Management Labor ,Labor,2,Speedwell Construction Inc.,Stoltzfus Jr Isaac,Lost,Townplace Suites - Lebanon,1/16/2026,2/7/2025,TS-25-001,2,$220.00 ,$290.40 
7. Management Labor ,Labor,2,Speedwell Construction Inc.,Stoltzfus Jr Isaac,Lost,Townplace Suites - Lebanon,1/16/2026,2/6/2025,TS-25-001,2,$220.00 ,$290.40 
7. Management Labor ,Labor,1,Bozzuto Construction Company,Stoltzfus Jr Isaac,Bid Submitted,"Residences at Providence Town Center, Phase 3",1/16/2026,8/15/2025,RP-25-001,1,$220.00 ,$290.40 
"#4 Rebar - 20' Pc Horizontal At 24"" On Center",Part,0,Heck Construction,Steffy Rick,Bid Submitted,Lime Spring Office Building,1/16/2026,7/16/2025,2507 - LSOB,34.85,$218.16 ,$290.15 
Rebar #4 - 20' pc,Part,0,IMC Construction,Stoltzfus Jr Isaac,Lost,Greystar Great Valley Residential,1/16/2026,1/10/2025,GR-25-001 ,39,$216.45 ,$290.04 
Dump Site,Part,0,Heck Construction,Steffy Rick,Bid Submitted,Wellspan Rothsville Ramp,1/16/2026,11/10/2025,2511 - WRR,2,$200.00 ,$290.00 
Shop Drawings,Part,0,IMC Construction,Stoltzfus Jr Isaac,Lost,Greystar Great Valley Residential,1/16/2026,12/30/2024,GR-25-001 ,5.28,$258.72 ,$289.77 
Management,Labor,3.93,Berg Construction,Steffy Rick,Bid Submitted,Lanchester Landfill - WAGA Energy,1/16/2026,8/27/2025,2508 - LLWE,3.93,$216.15 ,$289.64 
Site Concrete Wood Forms ,Part,0,"Hoover Building Specialists, Inc.",Swinehart Shelly,Bid Submitted,Lancaster Log Cabins 2025,1/16/2026,8/5/2025,2507-LLC,153.3,$217.69 ,$289.52 
Telehandler 8000 lb (In-House),Equipment,0,"Centurion Construction Group, LLC",Stoltzfus Jr Isaac,Estimating,Illuminated Integration - Warehouse ,1/16/2026,12/19/2025,2512 - II,5,$260.45 ,$289.10 
Wire Mesh 6 ga (2.9x2.9 6x6) 5'x10' Sheet,Part,0,"B.R. Kreider & Son, Inc.",Steffy Rick,Bid Submitted,Brookside Enterprise Phase 6,1/16/2026,4/8/2025,BSE - 25 - 001,14.88,$215.61 ,$288.92 
"Expansion Rigid Foam 4""x10'",Part,0,Speedwell Construction Inc.,Steffy Rick,Bid Submitted,WaWa #8191 Hummelstown,1/16/2026,7/1/2025,2506 - WH,55.8,$218.74 ,$288.73 
"Viper Tape 4"" x 180'",Part,0,Warfel Construction,Steffy Rick,Bid Submitted,Landis Homes Barn,1/16/2026,11/5/2025,2511 - LHB,6.2,$206.15 ,$288.61 
#6 Rebar - 20' Pc,Part,0,Paul Risk Construction,Steffy Rick,Bid Submitted,Piazza Porsche,1/16/2026,8/4/2025,2508-PP,15.3,$215.27 ,$288.46 
7. Management Labor ,Labor,4,Heck Construction,Stoltzfus Jr Isaac,Lost,Poplar Square Apartment Building,1/16/2026,12/12/2024,PS - 24 - 001,4,$220.00 ,$288.20 
Management Labor ,Labor,4,High Construction Company,Stoltzfus Jr Isaac,In Progress,Greenfield Clubhouse,1/16/2026,2/10/2025,GC-24-002,4,$220.00 ,$288.20 
Management Labor ,Labor,2,High Construction Company,Stoltzfus Jr Isaac,In Progress,Greenfield Clubhouse,1/16/2026,2/10/2025,GC-24-002,2,$220.00 ,$288.20 
Travel Labor,Labor,1.9,"Hoover Building Specialists, Inc.",Swinehart Shelly,Bid Submitted,Eagle Car Wash Equipment,1/16/2026,6/6/2025,25-06-ECWE,1.9,$216.60 ,$288.09 
Travel Labor,Labor,5.7,Brecknock Builders LLC,Steffy Rick,Bid Submitted,Nasatka Security,1/16/2026,8/13/2025,2508 - NS,5.7,$216.60 ,$288.08 
Travel Labor,Labor,5.7,Funk Construction,Steffy Rick,Bid Submitted,Caring Cupboard,1/16/2026,7/29/2025,2507 - CC,5.7,$216.60 ,$288.08 
4000 Psi Rohrers Concrete  ,Part,0,Buch Construction,Stoltzfus Jr Isaac,Bid Submitted,Broadcasting Village,1/16/2026,8/4/2025,BV-25-001,1.5,$214.97 ,$288.05 
Travel Labor,Labor,5,Paul Risk Construction,Stoltzfus Jr Isaac,Bid Submitted,La Petite Academy,1/16/2026,9/11/2025,2505-LA,5,$190.00 ,$287.88 
"Expansion Rigid Foam 4""x10'",Part,0,Heck Construction,Stoltzfus Jr Isaac,Lost,Poplar Square Apartment Building,1/16/2026,12/13/2024,PS - 24 - 001,56,$219.52 ,$287.57 
Management,Labor,3.96,Speedwell Construction Inc.,Steffy Rick,Bid Submitted,WaWa #8191 Hummelstown,1/16/2026,7/1/2025,2506 - WH,3.96,$217.80 ,$287.50 
Foundation Concrete  ,Part,0,Speedwell Construction Inc.,Steffy Rick,Bid Submitted,WaWa #8191 Hummelstown,1/16/2026,7/1/2025,2506 - WH,1.55,$217.70 ,$287.36 
"#5 Rebar - 20' Pc At 18"" On Center Vertical Dowels ",Part,0,CCS Building Group,Steffy Rick,In Progress,Memory Care Meditation Building,1/16/2026,11/24/2025,2511 - MCMB,19,$212.80 ,$287.28 
#4 Rebar - 20' Pc,Part,0,"Centurion Construction Group, LLC",Stoltzfus Jr Isaac,Bid Submitted,Godshall's Quality Meats,1/16/2026,5/2/2025,2505-GM,33,$206.58 ,$287.15 
Site Concrete Wood Forms ,Part,0,"Hoover Building Specialists, Inc.",Swinehart Shelly,Bid Submitted,Martin Appliance- Reading,1/16/2026,9/19/2025,2509-MAR,152,$215.84 ,$287.07 
Telehandler 8000 lb (In-House),Equipment,0,IMC Construction,Stoltzfus Jr Isaac,Lost,Greystar Great Valley Residential,1/16/2026,1/2/2025,GR-25-001 ,2,$214.00 ,$286.76 
Telehandler 8000 lb (In-House),Equipment,0,IMC Construction,Stoltzfus Jr Isaac,Lost,Greystar Great Valley Residential,1/16/2026,1/13/2025,GR-25-001 ,2,$214.00 ,$286.76 
Telehandler 8000 lb (In-House),Equipment,0,Funk Construction,Stoltzfus Jr Isaac,Complete,Londonderry Village Villa B,1/16/2026,12/27/2024,LV-24-001 ,1,$214.00 ,$286.76 
Telehandler 8000 lb (In-House),Equipment,0,IMC Construction,Stoltzfus Jr Isaac,Lost,Greystar Great Valley Residential,1/16/2026,12/30/2024,GR-25-001 ,1,$214.00 ,$286.76 
Telehandler 8000 lb (In-House),Equipment,0,IMC Construction,Stoltzfus Jr Isaac,Lost,Greystar Great Valley Residential,1/16/2026,1/10/2025,GR-25-001 ,1,$214.00 ,$286.76 
"Expansion Noma-Flex 4""x10'",Part,0,"Hoover Building Specialists, Inc.",Swinehart Shelly,Bid Submitted,Foxcraft Cabinets,1/16/2026,12/30/2025,2511-FC,55,$215.60 ,$286.75 
4000 Psi Trans-Fleet Concrete  ,Part,0,Warfel Construction,Stoltzfus Jr Isaac,Bid Submitted,ACTS Lower Gwynedd - Oakbridge Terrace,1/16/2026,9/23/2025,2508 - OT,1.5,$215.54 ,$286.66 
#5 Rebar - 20' Pc,Part,0,Buch Construction,Stoltzfus Jr Isaac,Bid Submitted,Broadcasting Village,1/16/2026,8/6/2025,BV-25-001,21,$215.46 ,$286.56 
#4 Rebar - 20' Pc,Part,0,CBG Building Company,Stoltzfus Jr Isaac,Bid Submitted,CANVAS Lawrenceville-Apartments,1/16/2026,10/3/2025,2506 - CL ,30,$215.40 ,$286.48 
Wire Mesh 8 ga (2.1x2.1 6x6) 5'x10' Sheet,Part,0,CCS Building Group,Steffy Rick,Bid Submitted,Mosaic,1/16/2026,11/14/2025,2507 - M,20,$215.20 ,$286.22 
Rebar #6 - 20' pc,Part,0,"Callas Contractors, Inc.",Stoltzfus Jr Isaac,Lost,Cumberland Township Municipal Building,1/16/2026,1/28/2025,CM-25-001,15,$215.10 ,$286.08 
Rebar #6 - 20' pc,Part,0,Keystruct Construction LLC,Stoltzfus Jr Isaac,Lost,Cumberland Township Municipal Building,1/16/2026,2/3/2025,CM-25-001,15,$215.10 ,$286.08 
Management,Labor,3.91,"Hoover Building Specialists, Inc.",Swinehart Shelly,Bid Submitted,Cozy Cabins,1/16/2026,8/13/2025,2508-CC,3.91,$215.05 ,$286.02 
V-Seal 102 5 gal,Part,0,"Hoover Building Specialists, Inc.",Stoltzfus Levi,To Do,Penn Valley Gas (Old),1/16/2026,12/9/2024,PV-24-001,1.08,$207.09 ,$285.78 
Site Concrete Wood Forms ,Part,0,Berg Construction,Steffy Rick,Bid Submitted,SECCRA,1/16/2026,7/22/2025,2507 - SECCRA,149,$211.58 ,$285.63 
L&M Curing Compound,Part,0,"Hoover Building Specialists, Inc.",Steffy Rick,Bid Submitted,Superior Truss Storage Shed,1/16/2026,9/4/2025,2507 - STSS,3.8,$214.66 ,$285.50 
Rebar #7 - 20' pc,Part,0,Heck Construction,Stoltzfus Jr Isaac,Lost,Poplar Square Apartment Building,1/16/2026,12/12/2024,PS - 24 - 001,9,$217.89 ,$285.44 
Foundation Wood Forms ,Part,0,CBG Building Company,Stoltzfus Jr Isaac,Bid Submitted,Willow Grove Retail Buildings D & H,1/16/2026,4/1/2025,WR-25-001,150,$213.00 ,$285.42 
Foundation Wood Forms ,Part,0,"Milex Construction, LLC",Stoltzfus Jr Isaac,Lost,Willow Grove Retail Buildings H,1/16/2026,5/12/2025,WR-25-001,150,$213.00 ,$285.42 
4. Piers Labor ,Labor,6,IMC Construction,Stoltzfus Jr Isaac,Lost,Greystar Great Valley Residential,1/16/2026,1/10/2025,GR-25-001 ,6,$213.00 ,$285.42 
8. Travel Labor,Labor,3,"Caldwell, Heckles and Egan, Inc.",Stoltzfus Jr Isaac,Lost,Railroad Museum of PA,1/16/2026,2/27/2025,RM-25-001,3,$213.00 ,$285.42 
8. Travel Labor,Labor,3,eciConstruction,Stoltzfus Jr Isaac,Lost,Railroad Museum of PA,1/16/2026,3/19/2025,RM-25-001,3,$213.00 ,$285.42 
8. Travel Labor,Labor,3,George Allen Construction,Stoltzfus Jr Isaac,Lost,Railroad Museum of PA,1/16/2026,3/19/2025,RM-25-001,3,$213.00 ,$285.42 
#5 Rebar - 20' Pc,Part,0,CBG Building Company,Stoltzfus Jr Isaac,Bid Submitted,Willow Grove Retail Buildings D & H,1/16/2026,4/1/2025,WR-25-001,23,$212.98 ,$285.39 
Slab On Grade Concrete  ,Part,0,"Hoover Building Specialists, Inc.",Steffy Rick,In Progress,Family Treasures Wholesale,1/16/2026,10/16/2025,2506 - FTW,1.6,$214.54 ,$285.34 
#4 Rebar - 20' Pc,Part,0,CBG Building Company,Stoltzfus Jr Isaac,Bid Submitted,Willow Grove Retail Buildings D & H,1/16/2026,4/3/2025,WR-25-001,34,$212.84 ,$285.21 
V-Seal 102 5 gal,Part,0,"Hoover Building Specialists, Inc.",Swinehart Shelly,Bid Submitted,Martin Appliance- Reading,1/16/2026,9/19/2025,2509-MAR,1.14,$214.31 ,$285.03 
Vapor Barrier 10 mil 20'x100',Part,0,Brecknock Builders LLC,Stoltzfus Jr Isaac,Bid Submitted,Frecon Farms,1/16/2026,5/19/2025,2505-25,1.49,$214.22 ,$284.91 
Telehandler 8000 lb (In-House),Equipment,0,Brecknock Builders LLC,Stoltzfus Jr Isaac,Bid Submitted,Frecon Farms,1/16/2026,5/20/2025,2505-25,2,$214.00 ,$284.62 
4000 Psi Rohrers Concrete  ,Part,0,Warfel Construction,Stoltzfus Jr Isaac,Lost,The Meadows Hybrid Homes Buildings 1 &2,1/16/2026,4/4/2025,MH-25-001,1.5,$213.86 ,$284.43 
Foundation Concrete  ,Part,0,"Murry Communities, Ltd.",Steffy Rick,Bid Submitted,34 E Roseville Road,1/16/2026,12/4/2025,2512 - RR,1.5,$210.68 ,$284.41 
Foundation Wood Forms ,Part,0,"Centurion Construction Group, LLC",Stoltzfus Jr Isaac,Bid Submitted,Godshall's Quality Meats,1/16/2026,5/2/2025,2505-GM,144,$204.48 ,$284.23 
Vapor Barrier 6 mil 20'x100',Part,0,Brecknock Builders LLC,Steffy Rick,Bid Submitted,Nasatka Security Addition,1/16/2026,8/14/2025,2508 - NSA,2.44,$213.35 ,$283.76 
TK-Floor Hardner and Densifier 55 gal,Part,0,J.E. Horst Building and Remodeling,Steffy Rick,Bid Submitted,L&L Marketplace,1/16/2026,12/29/2025,2512 - LLM,0.23,$210.01 ,$283.51 
8. Travel Labor,Labor,3,"Hoover Building Specialists, Inc.",Steffy Rick,Bid Submitted,Paradise Energy Solutions Building,1/16/2026,12/31/2024,PESB - 24-001,3,$213.00 ,$283.30 
8. Travel Labor,Labor,3,"Hoover Building Specialists, Inc.",Swinehart Shelly,Lost,Tamaqua Truck and Trailer,1/16/2026,2/20/2025,TAM-25-001,3,$213.00 ,$283.30 
Foundation Wood Forms ,Part,0,"Centurion Construction Group, LLC",Stoltzfus Jr Isaac,In Progress,Westminster Presbyterian Addition,1/16/2026,11/26/2025,2505-WP,150,$213.00 ,$283.29 
Bollards Labor,Labor,6,Brecknock Builders LLC,Stoltzfus Jr Isaac,Bid Submitted,Frecon Farms,1/16/2026,5/20/2025,2505-25,6,$213.00 ,$283.29 
Travel Labor,Labor,6,Heck Construction,Steffy Rick,In Progress,Ducklings Ambassador Circle,1/16/2026,5/14/2025,DAC - 25 - 001,6,$213.00 ,$283.29 
8. Travel Labor,Labor,6,"Hoover Building Specialists, Inc.",Swinehart Shelly,Bid Submitted,Denver Cold Storage Washington Street,1/16/2026,1/16/2025,DCS=25-001,6,$213.00 ,$283.29 
8. Travel Labor,Labor,6,"Hoover Building Specialists, Inc.",Swinehart Shelly,Bid Submitted,Destiny Builders,1/16/2026,2/10/2025,DES-25-001,6,$213.00 ,$283.29 
Bollards Labor,Labor,6,"Hoover Building Specialists, Inc.",Swinehart Shelly,Bid Submitted,Martin Appliance- Reading,1/16/2026,9/19/2025,2509-MAR,6,$213.00 ,$283.29 
8. Travel Labor,Labor,6,"Hoover Building Specialists, Inc.",Swinehart Shelly,Bid Submitted,McIlvaine Tree and Lawn,1/16/2026,1/17/2025,MTL-25-001,6,$213.00 ,$283.29 
Slab On Grade Labor ,Labor,6,"Hoover Building Specialists, Inc.",Swinehart Shelly,Bid Submitted,Prestige Painting,1/16/2026,3/27/2025,PRE-25-001,6,$213.00 ,$283.29 
 1. Labor,Labor,6,"Hoover Building Specialists, Inc.",Steffy Rick,Lost,Shank Door Wash Bay,1/16/2026,12/31/2024,SD - 24 - 001,6,$213.00 ,$283.29 
"Expansion Rigid Foam 4""x10'",Part,0,"Hoover Building Specialists, Inc.",Swinehart Shelly,Bid Submitted,Offroad Motorsports,1/16/2026,9/2/2025,2509-ORMS,54.33,$212.97 ,$283.25 
#4 Rebar - 20' Pc,Part,0,Buch Construction,Stoltzfus Jr Isaac,Bid Submitted,Broadcasting Village,1/16/2026,8/4/2025,BV-25-001,34,$212.84 ,$283.08 
#4 Rebar - 20' Pc,Part,0,CBG Building Company,Stoltzfus Jr Isaac,Bid Submitted,Willow Grove Apartments + Garage,1/16/2026,4/2/2025,WG-25-001,34,$212.84 ,$283.08 
#5 Rebar - 20' Pc,Part,0,"Benchmark Construction Co., Inc.",Steffy Rick,Bid Submitted,Fellowship Community - IL Apartment Building,1/16/2026,9/22/2025,2509 - FCAB,19,$212.80 ,$283.02 
#5 Rebar - 20' Pc Bolsters,Part,0,CCS Building Group,Steffy Rick,Bid Submitted,Mosaic,1/16/2026,11/14/2025,2507 - M,19,$212.80 ,$283.02 
Wood Forming ,Part,0,Berg Construction,Steffy Rick,Bid Submitted,Penske Truck Collision Center,1/16/2026,1/27/2025,PTCC - 25 - 001,146.74,$212.77 ,$282.99 
V-Seal 102 5 gal,Part,0,Berg Construction,Steffy Rick,Bid Submitted,Penske Truck Collision Center,1/16/2026,1/27/2025,PTCC - 25 - 001,1.13,$212.43 ,$282.53 
V-Seal 102 5 gal,Part,0,Universe Construction LLC,Stoltzfus Jr Isaac,Lost,Fisher Project,1/16/2026,5/16/2025,2505-FP,1.13,$212.43 ,$282.53 
Wire Mesh 10 ga (1.4x1.4 6x6) 5'x10' Sheet,Part,0,"Benchmark Construction Co., Inc.",Steffy Rick,Bid Submitted,Fellowship Community - IL Apartment Building,1/16/2026,9/22/2025,2509 - FCAB,29,$212.28 ,$282.33 
Wire Mesh 10 ga (1.4x1.4 6x6) 5'x10' Sheet,Part,0,Heck Construction,Steffy Rick,Bid Submitted,Richmond Square,1/16/2026,9/16/2025,2509 - RS,29,$212.28 ,$282.33 
"Expansion Cap (snap cap) 1/2""x10'",Part,0,CCS Building Group,Steffy Rick,In Progress,Memory Care 3A,1/16/2026,11/3/2025,2510 - MC3A,44,$181.72 ,$281.97 
Wood Forming ,Part,0,IMC Construction,Stoltzfus Jr Isaac,Lost,Greystar Great Valley Residential,1/16/2026,1/7/2025,GR-25-001 ,145,$210.25 ,$281.74 
Management,Labor,4,Warfel Construction,Stoltzfus Jr Isaac,In Progress,Tel Hai Health Center,1/16/2026,9/17/2025,2506 - TH,4,$220.00 ,$281.60 
"Expansion Rigid Foam 4""x10'",Part,0,Brecknock Builders LLC,Stoltzfus Jr Isaac,Bid Submitted,Frecon Farms,1/16/2026,5/19/2025,2505-25,54,$211.68 ,$281.53 
#4 Rebar - 20' Pc,Part,0,"Centurion Construction Group, LLC",Stoltzfus Jr Isaac,Estimating,Illuminated Integration - Warehouse ,1/16/2026,12/19/2025,2512 - II,28,$201.04 ,$281.46 
#6 Rebar - 20' Pc,Part,0,"Centurion Construction Group, LLC",Stoltzfus Jr Isaac,In Progress,Coplay Loadout Addition,1/16/2026,8/28/2025,2508 - CL ,14,$211.54 ,$281.35 
#6 Rebar - 20' Pc,Part,0,"Centurion Construction Group, LLC",Stoltzfus Jr Isaac,In Progress,Coplay Loadout Addition,1/16/2026,8/28/2025,2508 - CL ,7,$211.54 ,$281.34 
  Labor,Labor,6,BN Excavating Inc.,Stoltzfus Jr Isaac,Lost,Poplar Church Road Site,1/16/2026,12/20/2024,PC - 24 - 001,6,$213.00 ,$281.16 
"4"" 4000 psi Concrete",Part,0,"Hoover Building Specialists, Inc.",Swinehart Shelly,Delayed,Metzler's Gymnastic Center,1/16/2026,1/27/2025,MGC-25-001,1.45,$211.34 ,$281.08 
Shop Drawings,Part,0,IMC Construction,Stoltzfus Jr Isaac,Lost,Greystar Great Valley Residential,1/16/2026,1/10/2025,GR-25-001 ,4.28,$209.72 ,$281.02 
Travel Labor,Labor,2.8,"Ames Construction, Inc.",Steffy Rick,Bid Submitted,WaWa #8191 Hummelstown Ames,1/16/2026,7/2/2025,2506 - WH,2.8,$212.80 ,$280.90 
Management,Labor,3.52,Speedwell Construction Inc.,Steffy Rick,Lost,Piazza Volkswagen,1/16/2026,7/8/2025,2506 - PV,3.52,$193.60 ,$280.72 
Vapor Barrier 6 mil 20'x100',Part,0,Conowongo Builders,Steffy Rick,Lost,Hanover Community Church,1/16/2026,10/30/2025,2510 - HCC,2.11,$184.50 ,$280.44 
V-Seal 102 5 gal,Part,0,Speedwell Construction Inc.,Steffy Rick,Bid Submitted,WaWa #8191 Hummelstown,1/16/2026,7/1/2025,2506 - WH,1.13,$212.43 ,$280.41 
Management,Labor,1.93,"Ames Construction, Inc.",Steffy Rick,Bid Submitted,WaWa #8191 Hummelstown Ames,1/16/2026,7/2/2025,2506 - WH,1.93,$212.30 ,$280.24 
#5 Rebar - 20' Pc,Part,0,"Centurion Construction Group, LLC",Stoltzfus Jr Isaac,Bid Submitted,St Peters,1/16/2026,10/21/2025,2510 - SP,18,$201.60 ,$280.22 
#5 Rebar - 20' Pc,Part,0,High Construction Company,Stoltzfus Jr Isaac,Bid Submitted,Collegeville Apartments,1/16/2026,11/5/2025,CA-25-001,18,$201.60 ,$280.22 
Site Concrete  ,Part,0,Brecknock Builders LLC,Steffy Rick,Lost,Valley View Doors,1/16/2026,11/13/2025,2511 - VVD,1.5,$210.68 ,$280.20 
Site Concrete  ,Part,0,"Hoover Building Specialists, Inc.",Swinehart Shelly,Bid Submitted,Farmer Boy Ag,1/16/2026,12/10/2025,2512-FBA,1.5,$210.68 ,$280.20 
4000 psi Concrete  ,Part,0,"Hoover Building Specialists, Inc.",Swinehart Shelly,Accepted,Mine Road Church,1/16/2026,11/14/2025,2511-MRC,1.5,$210.68 ,$280.20 
Foundation Concrete  ,Part,0,"Hoover Building Specialists, Inc.",Steffy Rick,Bid Submitted,Shalom Mennonite School,1/16/2026,6/30/2025,2506 - SMS,1.5,$210.68 ,$280.20 
4000 psi Concrete  ,Part,0,"Hoover Building Specialists, Inc.",Swinehart Shelly,Bid Submitted,Weavertown Mennonite School,1/16/2026,12/1/2025,2511-WMS,1.5,$210.68 ,$280.20 
"Chairs 3"" (5' section)",Part,0,Buch Construction,Stoltzfus Jr Isaac,Bid Submitted,Broadcasting Village,1/16/2026,8/4/2025,BV-25-001,110,$209.00 ,$280.06 
Management,Labor,3.8,"Benchmark Construction Co., Inc.",Steffy Rick,Bid Submitted,Hershey Lumber Company,1/16/2026,8/12/2025,2508 - HLC,3.8,$209.00 ,$280.06 
"Chairs 3"" (5' section)",Part,0,"Centurion Construction Group, LLC",Stoltzfus Jr Isaac,Estimating,Illuminated Integration - Warehouse ,1/16/2026,12/19/2025,2512 - II,50,$200.00 ,$280.00 
Shop Drawings ,Subcontractor,0,Heck Construction,Steffy Rick,In Progress,Ducklings Ambassador Circle,1/16/2026,5/14/2025,DAC - 25 - 001,1,$250.00 ,$280.00 
Shop Drawings ,Subcontractor,0,Keystruct Construction LLC,Steffy Rick,Bid Submitted,Commerce Drive Production Facility,1/16/2026,4/28/2025,CD - 25 - 001,1,$250.00 ,$280.00 
L&M Curing Compound,Part,0,Warfel Construction,Steffy Rick,Bid Submitted,Landis Homes Barn,1/16/2026,11/12/2025,2511 - LHB,3.54,$199.97 ,$279.96 
Shop Drawings,Part,0,IMC Construction,Stoltzfus Jr Isaac,Lost,Greystar Great Valley Residential,1/16/2026,12/30/2024,GR-25-001 ,5.1,$249.90 ,$279.89 
Shop Drawings ,Subcontractor,0,High Construction Company,Stoltzfus Jr Isaac,Bid Submitted,Collegeville Apartments,1/16/2026,11/6/2025,CA-25-001,5.24,$256.76 ,$279.87 
